"score","substance","or","low","high","p","n","p_adj","ci_width"
"belonging","Alcohol",0.947497908195534,0.791720390215171,1.1339259379071,0.556198224012266,656,0.667465615816409,0.342205547691929
"belonging","Binge drinking",1.20865835974615,1.00289453128836,1.45663874416343,0.0465517146674238,656,0.267370070857855,0.453744212875066
"belonging","Cannabis",0.852502789325074,0.708291019147176,1.02607683305387,0.0914610904409776,656,0.292675489411128,0.317785813906694
"belonging","Nicotine",0.994480357770027,0.827298110691411,1.19544716615375,0.95299881575357,656,0.95299881575357,0.368149055462343
"loneliness","Alcohol",0.899215423376814,0.756185313344784,1.06929923574179,0.229394565232516,660,0.407812560413363,0.313113922397006
"loneliness","Binge drinking",0.878023205846624,0.728898353239617,1.05765741763413,0.170768831969501,660,0.341537663939002,0.328759064394512
"loneliness","Cannabis",1.09354577391224,0.903126749166495,1.32411354302702,0.359593627855254,660,0.523045276880369,0.420986793860522
"loneliness","Nicotine",0.933079010409015,0.770891753128636,1.12938870617362,0.47708268814244,660,0.636110250856586,0.358496953044989
"k6","Alcohol",1.05026348087403,0.881156402719692,1.25182473378513,0.584032413839357,661,0.667465615816409,0.370668331065437
"k6","Binge drinking",0.869576546569378,0.722598893217827,1.04644966583914,0.139042259183968,661,0.341537663939002,0.323850772621309
"k6","Cannabis",1.2894075877824,1.07275127815611,1.54982050479448,0.00676402145042259,661,0.108224343206761,0.477069226638366
"k6","Nicotine",1.11207091902217,0.926039633334003,1.33547386571604,0.255407588695497,661,0.408652141912796,0.409434232382037
"flourishing","Alcohol",1.18761504817096,0.99989790982011,1.41057350834533,0.0501318882858479,661,0.267370070857855,0.410675598525219
"flourishing","Binge drinking",1.18184358951157,0.974406398526662,1.43344119269079,0.0897524387392755,661,0.292675489411128,0.459034794164127
"flourishing","Cannabis",0.956154850154493,0.788855269791865,1.15893514625969,0.647748123421606,661,0.690931331649713,0.370079876467823
"flourishing","Nicotine",1.15672354541356,0.9480690674284,1.41129945747878,0.151416131145245,661,0.341537663939002,0.463230390050379
